id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
420000,2020-04-30 08:21:36,湖北,68128,0,63616,4512,0,0,0,,0,0,,,0
440000,2020-04-30 08:32:19,广东,1588,0,1557,8,0,0,0,,3,0,,,0
410000,2020-04-30 08:21:59,河南,1276,0,1254,22,0,0,0,,0,0,,,0
330000,2020-04-30 09:12:58,浙江,1268,0,1263,1,0,0,0,,1,0,,,0
810000,2020-04-30 07:26:17,香港,1037,0,830,4,0,0,0,0.0,19,0,0.0,,0
430000,2020-04-30 08:38:35,湖南,1019,0,1015,4,0,0,0,,0,0,,,0
340000,2020-04-30 08:34:22,安徽,991,0,985,6,0,0,0,,0,0,,,0
230000,2020-04-30 07:57:55,黑龙江,939,0,587,13,0,0,0,,0,0,,,0
360000,2020-04-30 09:01:50,江西,937,0,936,1,0,0,0,,0,0,,,0
370000,2020-04-30 08:56:26,山东,787,0,772,7,0,0,0,,1,0,,,0
320000,2020-04-30 08:58:08,江苏,653,0,648,0,0,0,0,,1,0,,,0
310000,2020-04-30 07:50:50,上海,647,0,597,7,0,0,2,,13,0,,,0
110000,2020-04-30 08:35:31,北京,593,0,542,9,0,0,0,,4,0,,,0
500000,2020-04-30 07:25:46,重庆,579,0,573,6,0,0,0,,0,0,,,0
510000,2020-04-30 08:54:50,四川,561,0,558,3,0,0,0,,0,0,,,0
700000,2020-04-30 07:16:38,台湾,429,0,311,6,0,0,0,0.0,4,0,0.0,,0
350000,2020-04-30 08:53:40,福建,355,0,353,1,0,0,0,,1,0,,,0
130000,2020-04-30 08:11:04,河北,328,0,318,6,0,0,0,,0,0,,,0
610000,2020-04-30 08:21:00,陕西,306,0,253,3,0,0,0,,0,0,,,0
450000,2020-04-30 08:59:03,广西,254,0,252,2,0,0,0,,0,0,,,0
150000,2020-04-30 08:23:19,内蒙古,200,0,150,1,0,0,1,,4,0,,,0
140000,2020-04-30 08:42:05,山西,197,0,164,0,0,0,0,,4,0,,,0
120000,2020-04-30 09:57:32,天津,190,0,183,3,0,0,0,,0,0,,,0
530000,2020-04-30 01:12:08,云南,185,0,181,2,0,0,0,,0,0,,,0
460000,2020-04-30 09:13:26,海南,168,0,162,6,0,0,0,,0,0,,,0
520000,2020-04-30 08:33:52,贵州,147,0,145,2,0,0,0,,0,0,,,0
210000,2020-04-30 07:59:18,辽宁,146,0,143,2,0,0,0,,0,0,,,0
620000,2020-04-30 07:11:08,甘肃,139,0,137,2,0,0,0,,0,0,,,0
220000,2020-04-30 07:37:07,吉林,111,0,99,1,0,0,1,,0,0,,,0
650000,2020-04-30 08:34:31,新疆,76,0,73,3,0,0,0,,0,0,,,0
640000,2020-04-30 08:47:15,宁夏,75,0,75,0,0,0,0,,0,0,,,0
820000,2020-04-30 07:18:18,澳门,45,0,34,0,0,0,0,0.0,1,0,0.0,,0
630000,2020-04-30 08:59:34,青海,18,0,18,0,0,0,0,,0,0,,,0
540000,2020-04-30 09:01:19,西藏,1,0,1,0,0,0,0,,0,0,,,0
