id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2020-04-30 08:56:11,突尼斯,980,0,294,40,0,,13.0,0.0,15.0,1.0,0.0,,
9507896,2020-04-30 00:00:31,塞尔维亚,8724,0,1292,173,0,,,,,,,,
0,2020-04-30 09:57:48,中国,84373,10,78785,4643,41,1664.0,4.0,,56.0,0.0,,,4.0
1,2020-04-30 10:50:00,日本,14831,0,3838,448,0,,,,,,,,
2,2020-04-30 00:00:30,泰国,2947,0,2665,54,0,,,,,,,,
3,2020-04-30 00:00:30,新加坡,15641,0,1128,14,0,,,,,,,,
4,2020-04-30 09:57:19,韩国,10765,0,9059,247,0,,4.0,,137.0,1.0,,,
5,2020-04-29 09:34:05,澳大利亚,6731,0,5626,84,0,,,0.0,,,0.0,,
6,2020-04-29 13:39:51,德国,159912,0,117400,6314,0,,,0.0,,,0.0,,
7,2020-04-30 08:54:44,美国,1064094,0,143117,61656,0,,28329.0,,879.0,2390.0,,,
8,2020-04-30 00:00:30,马来西亚,5945,0,4087,100,0,,,,,,,,
9,2020-04-30 00:00:30,越南,270,0,222,0,0,,,,,,,,
89566,2020-04-30 00:00:31,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2020-04-30 00:00:31,肯尼亚,384,0,129,14,0,,,,,,,,
826,2020-04-30 00:00:30,伊朗,93657,0,73791,5957,0,,,,,,,,
827,2020-04-30 07:49:31,以色列,15834,0,8233,215,0,,106.0,0.0,487.0,5.0,0.0,,
829,2020-04-30 00:00:30,黎巴嫩,721,0,150,24,0,,,,,,,,
833,2020-04-29 07:53:09,克罗地亚,2047,0,1232,63,0,,,0.0,,,0.0,,
834,2020-04-29 13:45:38,奥地利,15357,0,12580,569,0,,,0.0,,,0.0,,
835,2020-04-30 00:00:31,瑞士,29407,0,22600,1699,0,,,,,,,,
839,2020-04-29 13:58:50,希腊,2566,0,577,138,0,,,0.0,,,0.0,,
95800,2020-04-30 00:00:31,毛里求斯,334,0,303,10,0,,,,,,,,
845,2020-04-29 07:55:54,爱沙尼亚,1660,0,240,50,0,,,0.0,,,0.0,,
846,2020-04-29 07:59:45,北马其顿,1421,0,589,71,0,,,0.0,,,0.0,,
850,2020-04-30 00:00:31,白俄罗斯,13181,0,2072,84,0,,,,,,,,
851,2020-04-29 07:54:38,立陶宛,1344,0,536,44,0,,,0.0,,,0.0,,
852,2020-04-29 14:03:45,阿塞拜疆,1717,0,1221,22,0,,,0.0,,,0.0,,
875097,2020-04-30 00:00:31,美属维尔京群岛,59,0,46,4,0,,,,,,,,
95826,2020-04-30 00:00:31,蒙古,38,0,10,0,0,,,,,,,,
872,2020-04-30 00:00:31,乌克兰,9866,0,1103,250,0,,,,,,,,
874,2020-04-29 08:21:37,波兰,12218,0,2655,596,0,,,0.0,,,0.0,,
878,2020-04-24 20:43:16,波斯尼亚,1421,0,538,55,0,,,0.0,,,0.0,,
879,2020-04-29 07:58:33,波黑,1557,0,695,62,0,,,0.0,,,0.0,,
80902,2020-04-30 00:00:31,蒙特塞拉特,11,0,2,1,0,,,,,,,,
880,2020-04-30 03:53:41,南非,5350,0,1473,103,0,,354.0,0.0,0.0,10.0,0.0,,
95198,2020-04-30 00:00:31,布隆迪,15,0,4,1,0,,,,,,,,
95215522,2020-04-29 22:24:08,南苏丹,34,0,0,0,0,,,0.0,,,0.0,,
893,2020-04-30 00:00:31,马耳他,463,0,339,4,0,,,,,,,,
896,2020-04-29 13:54:08,摩尔多瓦,3638,0,975,103,0,,,0.0,,,0.0,,
897,2020-04-30 07:48:03,保加利亚,1447,0,243,64,0,,48.0,0.0,21.0,6.0,0.0,,
898,2020-04-30 00:00:31,孟加拉国,7103,0,150,163,0,,,,,,,,
899,2020-04-30 00:00:31,阿尔巴尼亚,766,0,455,30,0,,,,,,,,
950000,2020-04-29 07:41:14,巴勒斯坦,497,0,92,4,0,,,0.0,,,0.0,,
953333,2020-04-30 00:00:30,阿富汗,1938,0,231,58,0,,,,,,,,
95888822,2020-04-30 00:00:31,沙特阿拉伯,21402,0,2953,157,0,,,,,,,,
9511123,2020-04-30 10:03:33,新西兰,1474,0,1229,19,0,,,,,,,,
83356,2020-04-30 00:00:31,泽西岛,281,0,2,19,0,,,,,,,,
954467,2020-04-30 00:00:31,叙利亚,43,0,21,3,0,,,,,,,,
95327,2020-04-30 10:47:22,巴拿马,6378,0,527,178,0,,178.0,0.0,43.0,2.0,0.0,,
95329,2020-04-29 14:10:49,古巴,1437,0,575,58,0,,,0.0,,,0.0,,
9511111,2020-04-30 08:55:39,尼日利亚,1728,0,307,51,0,,196.0,0.0,52.0,7.0,0.0,,
95858585,2020-04-30 07:55:55,摩洛哥,4321,0,928,168,0,,69.0,0.0,150.0,3.0,0.0,,
9500222,2020-04-30 00:00:31,塞内加尔,882,0,315,9,0,,,,,,,,
95118,2020-04-30 00:00:31,老挝,19,0,7,0,0,,,,,,,,
95350,2020-04-30 00:00:31,巴哈马,80,0,23,11,0,,,,,,,,
84226,2020-04-29 19:38:11,马约特岛,460,0,235,4,0,,,0.0,,,0.0,,
954444,2020-04-29 08:15:11,斯洛文尼亚,1408,0,223,86,0,,,0.0,,,0.0,,
95103,2020-04-29 13:53:17,卢森堡,3741,0,3123,89,0,,,0.0,,,0.0,,
95106,2020-04-30 07:46:07,爱尔兰,20253,0,13386,1190,0,,376.0,0.0,4153.0,31.0,0.0,,
95102,2020-04-29 08:45:55,厄瓜多尔,24258,0,1557,871,0,,,0.0,,,0.0,,
957777,2020-04-29 07:44:27,捷克,7486,0,2942,225,0,,,0.0,,,0.0,,
9522222,2020-04-30 00:00:31,匈牙利,2727,0,536,300,0,,,,,,,,
8101,2020-04-23 19:48:25,法属圭亚那,107,0,84,1,0,,,0.0,,,0.0,,
8102,2020-04-30 00:00:31,多哥共和国,99,0,63,6,0,,,,,,,,
8100,2020-04-30 00:00:31,哥斯达黎加,705,0,306,6,0,,,,,,,,
8105,2020-04-30 00:00:31,文莱,138,0,124,1,0,,,,,,,,
8103,2020-04-30 00:00:31,法罗群岛,187,0,178,0,0,,,,,,,,
8104,2020-04-30 00:00:31,马提尼克岛,175,0,77,14,0,,,,,,,,
95120,2020-04-30 00:00:31,荷兰,38802,0,322,4711,0,,,,,,,,
951234567,2020-04-30 07:23:13,巴西,78162,0,34132,5466,0,,4927.0,0.0,1588.0,383.0,0.0,,
8115,2020-04-30 00:00:31,洪都拉斯,738,0,73,66,0,,,,,,,,
95394,2020-04-30 10:02:26,乌拉圭,630,0,411,15,0,,5.0,0.0,17.0,0.0,0.0,,
95390,2020-04-30 07:32:17,秘鲁,33931,0,10037,943,0,,2741.0,0.0,858.0,89.0,0.0,,
956666,2020-04-29 07:34:27,智利,14365,0,7710,207,0,,,0.0,,,0.0,,
95389,2020-04-30 00:00:31,格陵兰,11,0,11,0,0,,,,,,,,
95382,2020-04-30 00:00:31,圣巴托洛谬岛,6,0,0,0,0,,,,,,,,
950101010,2020-04-30 08:12:13,马尔代夫,277,0,17,0,0,,32.0,0.0,0.0,0.0,0.0,,
95384,2020-04-30 00:00:31,委内瑞拉,329,0,142,10,0,,,,,,,,
8134,2020-04-30 00:00:31,毛里塔尼亚,7,0,6,1,0,,,,,,,,
8135,2020-04-30 00:00:31,纳米比亚,16,0,8,0,0,,,,,,,,
8132,2020-04-30 00:00:31,法属留尼汪岛,418,0,300,0,0,,,,,,,,
8133,2020-04-30 00:00:31,波多黎各,1389,0,0,53,0,,,,,,,,
95732,2020-04-29 08:18:41,加纳,1671,0,188,16,0,,,0.0,,,0.0,,
8136,2020-04-29 08:04:41,赤道几内亚,315,0,9,1,0,,,0.0,,,0.0,,
